folioviv,tenencia,renta,ubica_geo,tam_loc,est_socio,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,cocina,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,combus,eli_basura,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,antiguedad_no_especificada
100012006,4,0,1001,1,3,1,8,10,3,18.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100013801,1,2500,1001,1,4,1,8,10,3,1.0,1,2,3,1,1,1,2,1,2,1,1,0,0,1,1,7,3,3,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,0
100013803,3,0,1001,1,4,1,8,10,3,11.0,1,3,4,1,1,1,1,1,2,1,1,1,0,1,1,15,3,3,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100013804,1,2000,1001,1,4,1,8,10,3,30.0,1,3,4,1,1,1,2,1,2,1,1,0,0,1,1,15,3,3,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,0
100013805,3,0,1001,1,4,1,8,10,3,14.0,1,2,3,1,1,1,1,1,2,1,1,1,0,1,1,10,3,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100013806,2,0,1001,1,4,1,8,10,2,1.0,1,1,2,1,1,1,1,1,2,1,1,1,0,1,1,12,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,0
100014201,1,900,1001,1,2,1,8,10,3,25.0,1,2,4,1,1,1,2,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100014202,3,0,1001,1,2,1,8,10,3,25.0,1,2,4,1,1,1,2,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,0
100014203,3,0,1001,1,2,1,8,10,3,27.0,1,2,4,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100014204,2,0,1001,1,2,1,8,10,3,20.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,4,3,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0
100014205,4,0,1001,1,2,1,8,10,2,30.0,1,3,5,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100014206,3,0,1001,1,2,1,8,10,3,20.0,1,2,3,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0
100015401,4,0,1001,1,2,1,8,10,3,24.0,1,2,3,1,1,1,2,1,2,2,2,0,0,1,1,15,3,3,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,0
100015402,3,0,1001,1,2,1,8,10,2,18.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0
100015403,4,0,1001,1,2,1,8,10,3,18.0,1,3,5,1,1,1,2,1,2,1,2,0,0,1,1,8,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,0
100015405,4,0,1001,1,2,1,8,10,3,25.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,6,3,3,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,0
100015406,4,0,1001,1,2,1,8,10,2,22.0,1,3,5,1,1,1,2,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0
100016601,3,0,1001,1,2,1,8,10,3,15.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,0
100016602,4,0,1001,1,2,1,8,10,2,20.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,6,3,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,0
100016603,4,0,1001,1,2,1,8,10,2,16.0,1,3,4,1,1,1,1,1,2,1,2,0,0,1,1,7,3,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,0
100016604,4,0,1001,1,2,1,8,10,2,17.0,1,5,5,1,1,1,3,1,2,2,1,0,0,1,1,6,3,3,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,0
100016605,3,0,1001,1,2,1,8,10,3,-1.0,1,2,4,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
100017801,2,0,1001,1,2,1,8,10,3,15.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,15,3,3,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,0
100017802,3,0,1001,1,2,1,8,10,3,3.0,1,2,5,1,1,1,1,1,2,1,1,0,0,1,1,10,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,0
100017803,3,0,1001,1,2,1,8,10,3,19.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,0
100017804,1,3500,1001,1,2,1,8,10,3,10.0,1,1,5,1,1,1,2,1,2,1,2,0,0,1,1,15,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,0
100017805,4,0,1001,1,2,1,8,10,3,18.0,2,1,2,1,1,1,2,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,2,0
100017806,3,0,1001,1,2,1,8,10,3,15.0,1,2,4,1,1,1,2,1,2,1,1,1,0,1,1,6,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,0
100018301,4,0,1001,1,3,1,8,10,2,19.0,1,3,4,1,1,1,1,1,2,1,2,0,0,1,1,8,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100018302,4,0,1001,1,3,1,8,10,3,12.0,1,3,5,1,1,1,1,1,2,1,2,0,0,1,1,8,3,3,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100018303,4,0,1001,1,3,1,8,10,2,24.0,1,1,3,1,1,1,1,1,1,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100018304,1,2500,1001,1,3,1,8,10,2,20.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100018305,3,0,1001,1,3,1,8,10,3,22.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100018306,3,0,1001,1,3,1,8,10,2,-1.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,3,3,3,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1
100019501,3,0,1001,1,3,1,8,10,3,15.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,9,3,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100019502,3,0,1001,1,3,1,8,10,3,17.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,16,3,3,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100019503,3,0,1001,1,3,1,8,10,3,14.0,1,1,3,1,1,1,1,1,2,1,1,0,0,1,1,5,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100019504,3,0,1001,1,3,1,8,10,3,13.0,1,3,5,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100019505,3,0,1001,1,3,1,8,10,3,15.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,5,3,3,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100019506,1,3000,1001,1,3,1,8,10,3,20.0,1,3,5,1,1,1,1,1,2,1,1,0,0,1,1,10,3,3,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,0
100020701,4,0,1001,1,3,1,8,10,3,10.0,1,1,4,1,1,1,2,1,2,1,1,0,0,1,1,5,3,3,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100020702,4,0,1001,1,3,1,8,10,2,21.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,9,3,3,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0
100020703,1,2500,1001,1,3,1,8,10,3,-1.0,1,2,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
100020704,4,0,1001,1,3,1,8,10,3,25.0,1,4,6,1,1,1,2,1,2,1,2,0,0,1,1,10,3,3,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,0
100020705,4,0,1001,1,3,1,8,10,3,-1.0,1,3,4,1,1,1,2,1,2,1,1,1,0,1,1,10,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
100020706,4,0,1001,1,3,1,8,10,3,31.0,1,1,2,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100021901,1,2300,1001,1,3,1,8,10,2,25.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,10,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100021903,3,0,1001,1,3,1,8,10,3,25.0,1,2,4,1,1,1,1,1,2,1,1,0,0,1,1,8,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
100021904,3,0,1001,1,3,1,8,10,2,25.0,1,1,3,1,1,1,1,1,2,1,1,0,0,1,1,7,3,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100021905,1,2700,1001,1,3,1,8,10,2,15.0,1,2,3,1,1,1,4,1,2,1,1,0,0,1,1,6,3,3,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,0
100022201,3,0,1001,1,3,1,8,10,3,-1.0,1,2,3,1,1,1,4,1,2,1,1,0,0,1,1,5,3,3,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1
100022202,4,0,1001,1,3,1,8,10,3,17.0,1,2,3,1,1,1,3,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,0
100022203,4,0,1001,1,3,1,8,10,3,22.0,1,3,5,1,1,1,4,1,2,1,1,1,0,1,1,6,3,3,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0
100022204,4,0,1001,1,3,1,8,10,3,25.0,1,5,8,1,1,1,1,1,2,1,3,0,0,1,1,24,3,3,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0
100022206,4,0,1001,1,3,1,8,10,3,20.0,1,2,5,1,1,1,3,1,2,1,2,0,0,1,1,9,3,3,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
100023001,2,0,1001,1,2,2,8,10,3,20.0,1,3,4,1,1,1,1,1,2,1,1,0,0,1,1,6,3,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
