ID,renta_real,pred_lineal_pesos,pred_rf_pesos,pred_xgb_pesos,pred_lineal_log,pred_rf_log,pred_xgb_log,renta_real_log
Hogar_765,3499.9999999999977,2758.151665226714,2746.177370340582,2675.6636,7.922678543792591,7.918329252755099,7.8923264,8.160803920954665
Hogar_766,2500.0000000000005,1868.5324383273805,1849.1381870114967,1959.3602,7.533443645605165,7.523015610964677,7.5808835,7.824445930877619
Hogar_767,2000.0,2366.3243458385223,1792.222704266689,2196.132,7.7695156283641245,7.491769673514252,7.694908,7.601402334583733
Hogar_768,2999.9999999999995,1946.5848907540928,2373.6790949248584,2938.2354,7.57434536639906,7.772617589413117,7.9859047,8.006700845440367
Hogar_769,3499.9999999999977,2880.5233158568603,2688.122225554126,2780.3103,7.9660743624132575,7.896970109142199,7.9306774,8.160803920954665
Hogar_770,1499.9999999999995,1550.614294001985,1976.287820010591,1878.4186,7.34705114795054,7.589481396798132,7.5387177,7.313886831633462
Hogar_771,8000.0000000000055,5631.890786625373,6806.885717409267,5914.269,8.636378050569956,8.825836883597812,8.685292,8.987321812850125
Hogar_772,700.0,1891.9761939034777,1466.1237977861783,1268.7526,7.5459055752736575,7.291059162984784,7.1465774,6.55250788703459
Hogar_773,10000.00000000001,5424.156380526829,7169.357888140508,8330.34,8.598802003896765,8.877710847011919,9.02778,9.210440366976517
Hogar_774,2000.0,2507.321625796423,2468.4158976248154,2607.9785,7.827369133481499,7.811736922962121,7.866714,7.601402334583733
Hogar_775,4000.0000000000014,2595.7959457711786,2756.1811448209673,2774.1924,7.862033635518804,7.921964112463875,7.9284754,8.294299608857235
Hogar_776,4000.0000000000014,3987.6422114004863,5296.432482850758,5051.4033,8.291206154074827,8.574977544964634,8.527619,8.294299608857235
Hogar_777,2000.0,2419.8514014226785,3007.405696367331,2718.3022,7.791874576046722,8.009165548437801,7.9081306,7.601402334583733
Hogar_778,3499.9999999999977,4227.789537847706,4117.861083588704,4877.4893,8.349671069823058,8.323331968105933,8.492591,8.160803920954665
Hogar_779,2999.9999999999995,2457.137910016693,2299.528105498632,2713.4946,7.807159395149579,7.740893986647012,7.906361,8.006700845440367
Hogar_780,2000.0,2446.9169903512066,2406.0288569900317,2307.4727,7.802992733887029,7.786148426489783,7.7443414,7.601402334583733
Hogar_781,2000.0,1851.694521876159,1749.0084227867842,1739.5583,7.524396356718951,7.467375879926997,7.4619613,7.601402334583733
Hogar_782,2500.0000000000005,3414.4928501312015,3673.034213398682,3344.9348,8.13607708081038,8.20904557803402,8.115501,7.824445930877619
Hogar_783,2999.9999999999995,3628.7932179100426,3980.06460082806,3937.2583,8.196930960873269,8.289304550155283,8.278494,8.006700845440367
Hogar_784,1499.9999999999995,2196.3947310261956,2172.153709318982,1753.9954,7.695027724442023,7.683934713750607,7.4702215,7.313886831633462
Hogar_785,1499.9999999999995,1657.3199311645985,1632.327601209683,1695.7517,7.4135602791821364,7.398374685960991,7.436471,7.313886831633462
Hogar_786,2999.9999999999995,2983.0701646317884,3094.6484545656394,2582.5537,8.001043474663762,8.037752679995613,7.856921,8.006700845440367
Hogar_787,8500.000000000005,9016.605090765597,8732.623106072055,7585.2417,9.106934066800786,9.074935580615218,8.934092,9.04793908261736
Hogar_788,999.9999999999999,1674.1784613722114,1758.055640943342,1798.868,7.42367498268656,7.472532376382436,7.4954686,6.90875477931522
Hogar_789,2500.0000000000005,3026.676675253922,2673.4089064905925,2774.4888,8.015550830538402,7.891483665376515,7.928582,7.824445930877619
Hogar_790,1499.9999999999995,2356.4628172452026,2355.16860570898,2005.1407,7.76534124227091,7.764792106603474,7.603968,7.313886831633462
Hogar_791,5000.000000000003,2989.1659889254097,3919.5126968580116,3672.3364,8.003084179534621,8.273977714247039,8.208856,8.517393171418904
Hogar_792,7500.0000000000055,5354.191095862687,7256.811306834406,8035.6826,8.58582166774704,8.889833589478933,8.991772,8.922791623969637
Hogar_793,1800.0,2121.556760078245,2156.095443225714,2034.1276,7.660376659914274,7.67651789354455,7.618314,7.496097345175956
Hogar_794,5000.000000000003,4987.844997648429,5364.7840729061045,5024.4546,8.51495969855667,8.587797790314967,8.522271,8.517393171418904
Hogar_795,4499.999999999999,3362.483251169195,3076.2412343281567,3217.5488,8.120732397869256,8.031788771445656,8.076686,8.412054873292933
